Facility Type,Facility Number,Facility Name,Licensee,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date
ADULT RESIDENTIAL,347001953,LEGASPI CARE HOME,"LEGASPI, MILA","LEGASPI, MILA",(916) 429-1587,8055 DEER LAKE DRIVE,SACRAMENTO,CA,95823,SACRAMENTO,27,6,CLOSED,3/18/2002,9/25/2017
ADULT RESIDENTIAL,342700217,LEGASPI CARE HOME,MILA LEGASPI CARE HOME LLC,DOMINIC LEGASPI,(916) 429-1587,8055 DEER LAKE DR,SACRAMENTO,CA,95823,SACRAMENTO,27,6,LICENSED,9/18/2017,
ADULT RESIDENTIAL,347004000,LEGASPI CARE HOME #2,"LEGASPI CARE HOME, INC.","HARGAN,ROSARIO",(916) 429-1587,27 ROSTO COURT,SACRAMENTO,CA,95823,SACRAMENTO,27,6,LICENSED,2/28/2008,
ADULT RESIDENTIAL,198602938,LEGENDARY DOVES HOME CARE,DOMINIQUE ACOSTA,"ACOSTA, DOMINIQUE",(310) 462-0420,1043 W. 122ND STREET,LOS ANGELES,CA,90044,LOS ANGELES,28,4,LICENSED,7/13/2018,
ADULT RESIDENTIAL,347003732,LEGGS ADULT RESIDENTIAL CARE FACILITY,PHYLLIS LEGGS AND BRADFORD LEGGS,"LEGGS, BRADFORD",(209) 472-9729,751 MOOSE CREEK WAY,GALT,CA,95632,SACRAMENTO,27,6,LICENSED,9/14/2007,
ADULT RESIDENTIAL,306002941,LEISURE COURT VILLAGE,"LY, NIMFA",NIMFA LY,(714) 639-8153,18863 VINE STREET,ORANGE,CA,92869,ORANGE,22,6,LICENSED,3/27/2007,
ADULT RESIDENTIAL,486801542,LEISURE HOME,"SLAY, BRENDA","SLAY, BRENDA",(707) 451-4905,931 READING WAY,VACAVILLE,CA,95687,SOLANO,21,4,LICENSED,1/5/2004,
ADULT RESIDENTIAL,300600594,LEISURE TOWER GUEST HOME,"THOMAS, WILLIAM","THOMAS, BILL",(714) 538-2054,1305 EAST CHAPMAN,ORANGE,CA,92666,ORANGE,22,40,CLOSED,9/30/1985,11/13/2014
ADULT RESIDENTIAL,306004697,LEISURE TOWER GUEST HOME LLC,"LEISURE TOWER GUEST HOME, LLC",KEITH SWAYNE,(714) 538-2054,1305 EAST CHAPMAN,ORANGE,CA,92866,ORANGE,22,40,LICENSED,11/13/2014,
ADULT RESIDENTIAL,300602476,LEISURE TOWER GUEST HOME #2,"IRENE CHVKICEK AND PEGGY SWETLAND, PARTNERSHIP",NELSON PEREZ,(714) 776-9314,608 E SYCAMORE,ANAHEIM,CA,92805,ORANGE,22,32,CLOSED,7/31/1979,12/20/2015
ADULT RESIDENTIAL,306004814,LEISURE TOWER II RESIDENTIAL CARE,"PEREZ, NELSON",NELSON PEREZ,(714) 776-9314,608 E SYCAMORE,ANAHEIM,CA,92805,ORANGE,22,32,CLOSED,12/21/2015,12/22/2016
ADULT RESIDENTIAL,306004823,LEISURE TOWER II RESIDENTIAL CARE,"LEISURE TOWER II RESIDENTIAL CARE, INC.",NELSON PEREZ,(714) 321-1656,608 E SYCAMORE,ANAHEIM,CA,92805,ORANGE,22,32,LICENSED,12/22/2016,
ADULT RESIDENTIAL,198601652,LELA L MIMS ADULT RESIDENTIAL FACILITY,RITA L. MIMS,RITA L. MIMS,(323) 971-0853,1135 EAST 84TH STREET,LOS ANGELES,CA,90001,LOS ANGELES,28,4,CLOSED,6/11/2014,3/12/2018
ADULT RESIDENTIAL,198602238,LELA L MIMS ADULT RESIDENTIAL FACILITY,LELA L MIMS ADULT RESIDENTIAL FACILITY,"BRADFORD, MELANIE",(232) 582-1693,1135 EAST 84TH STREET,LOS ANGELES,CA,90001,LOS ANGELES,28,4,CLOSED,,7/20/2017
ADULT RESIDENTIAL,198200548,LEMERE ADULT RESIDENTIAL,"MOORER, LEONA",GERALD MOORER,(310) 637-7027,1304 E. BENNETT,COMPTON,CA,90221,LOS ANGELES,28,6,CLOSED,10/30/1995,8/16/2017
ADULT RESIDENTIAL,198201376,LEMERE PROGRAMS & SERVICES,LEONA MOORER,CHRISTIAN MOORER,(310) 608-7513,1407 W. BENNETT,COMPTON,CA,90220,LOS ANGELES,28,6,CLOSED,5/12/1997,2/2/2018
ADULT RESIDENTIAL,547202570,LEMMEYER FAMILY CARE,"LEMMEYER, PATRICIA","LEMMEYER, PATRICIA",(559) 784-9463,585 WEST KANAI,PORTERVILLE,CA,93257,TULARE,24,6,CLOSED,11/25/2002,6/24/2016
ADULT RESIDENTIAL,198601004,LEMON TREE CARING HOME,ANDY MIK CORPORATIONS,"KIM, JENNIFER",(626) 810-3523,19328 BAELEN STREET,ROWLAND HEIGHTS,CA,91748,LOS ANGELES,28,6,LICENSED,7/11/2007,
ADULT RESIDENTIAL,565800447,LEMONWOOD CARE HOME,DOMINICA TRANSFIGURACION,CAROLINA PAGULAYAN,(805) 984-3477,2040 BEAUFORT DRIVE,OXNARD,CA,93033,VENTURA,29,6,CLOSED,1/19/2000,6/11/2014
ADULT RESIDENTIAL,361800238,LENBERG RESIDENTIAL HOME,LENBERG RESIDENTIAL HOME,"OLUBAJO, CALEB",(909) 265-1615,704 SOUTH ARROWHEAD,RIALTO,CA,92376,SAN BERNARDINO,18,3,LICENSED,2/28/2018,
ADULT RESIDENTIAL,525002360,LENIHAN'S RESIDENTIAL CARE HOME #1,"LENIHAN, DONALD & KATHLEEN","LENIHAN, KATHLEEN",(530) 824-1317,1018 4TH AVENUE,CORNING,CA,96021,TEHAMA,25,4,LICENSED,2/3/2011,
ADULT RESIDENTIAL,525001643,LENIHAN'S RESIDENTIAL CARE HOME #3,"LENIHAN, KATHLEEN & DONALD","LENIHAN, DONALD",(530) 824-9118,525 MARGUERITE AVENUE,CORNING,CA,96021,TEHAMA,25,6,CLOSED,8/16/2004,10/25/2018
ADULT RESIDENTIAL,198601266,LENITY RESIDENTIAL,"TORRES FACILITY CARE HOMES, INC.",HELEN TORRES,(626) 641-7804,1926 TILLIE CT,WEST COVINA,CA,91792,LOS ANGELES,28,6,CLOSED,10/12/2009,6/11/2015
ADULT RESIDENTIAL,361800171,LEVY ARF,LEVY COMMUNITY SERVICES INC,"WRIGHT, SHANEEKA S",(323) 216-6250,12976 BULLET AVE,VICTORVILLE,CA,92392,SAN BERNARDINO,18,6,LICENSED,2/14/2018,
ADULT RESIDENTIAL,370808334,"LEWIS, FRANK & KAREN","LEWIS, FRANK & KAREN","LEWIS, KAREN",(619) 985-3435,864 PALOMAR AVENUE,EL CAJON,CA,92020,SAN DIEGO,8,6,LICENSED,8/27/1990,
ADULT RESIDENTIAL,374601016,LEXINGTON HOUSE-SOUTHPOINT,ANKA BEHAVIORAL HEALTH INC.,WILMA VILLANUEVA,(619) 593-7909,1392 LEXINGTON AVENUE,EL CAJON,CA,92019,SAN DIEGO,8,12,CLOSED,11/16/2000,7/1/2015
ADULT RESIDENTIAL,415610006,LEXY'S ADULT RESIDENTIAL FACILITY,"M INGCO, INC",MARIA INGCO,(650) 291-5328,108 GREENWOOD DRIVE,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,14,4,LICENSED,4/1/2004,
ADULT RESIDENTIAL,19200013,LIAHONA COMMUNITY CARE,REYLITA & ROGELIO TABION,"TABION, ROGELIO & REYLITA",(510) 489-9700,34213 ARIZONA ST,UNION CITY,CA,94587,ALAMEDA,15,6,LICENSED,7/11/2002,
ADULT RESIDENTIAL,19200042,LIBBIE'S CARE HOME,MARY C. MILLER,JIMMY TANG,(925) 461-7432,4847 GOLDEN ROAD,PLEASANTON,CA,94566,ALAMEDA,15,6,LICENSED,10/29/2002,
ADULT RESIDENTIAL,19200163,LIBBIE'S CARE HOME #2,MARY C. MILLER,NUSSUN ORLUN,(925) 461-7477,5294 CRESTLINE WAY,PLEASANTON,CA,94566,ALAMEDA,15,6,CLOSED,3/11/2005,6/30/2015
ADULT RESIDENTIAL,392700430,LIBBIE CARE HOME,LIBBIE CARE HOME LLC,"TANG, JIMMY",(209) 824-5993,558 E EDISON ST,MANTECA,CA,95336,SAN JOAQUIN,27,5,PENDING,,
ADULT RESIDENTIAL,157206256,LIBERTY IN THE WEST,X MARS X INC DBA LIBERTY IN THE WEST,"ESPARZA, DANIEL",(661) 332-2949,15913 SAN MARCO PL,BAKERSFIELD,CA,93314,KERN,24,4,LICENSED,5/12/2009,
ADULT RESIDENTIAL,374603758,LIBEY'S ARF-AVOCADO,PARTNERSHIP OF MARIE HURTADO-AYUP & SAMUEL HURTADO,"HURTADO-AYUP, MARIE",(619) 334-9415,4402 AVOCADO BLVD,LA MESA,CA,91941,SAN DIEGO,8,4,LICENSED,10/19/2017,
ADULT RESIDENTIAL,415600291,LIBY'S HOME,BEHAVIOR ANALYSIS TECHNOLOGIES RESIDENTIAL SVC.INC,"BALINGIT, REY",(650) 347-3048,1144 BERNAL AVENUE,BURLINGAME,CA,94010,SAN MATEO,14,6,LICENSED,2/11/2002,
ADULT RESIDENTIAL,216803136,LIFE CONNECTION-DEVON HOME,"LIFE CONNECTION, LLC","ZHU, SHERRY",(415) 350-6636,371 DEVON DRIVE,SAN RAFAEL,CA,94903,MARIN,21,6,LICENSED,7/17/2009,
ADULT RESIDENTIAL,389210042,LIFE CONNECTION - PORTOLA HOME,LIFE CONNECTION,SHERRY ZHU,(415) 350-6636,1340 PORTOLA DRIVE,SAN FRANCISCO,CA,94127,SAN FRANCISCO,14,6,LICENSED,4/25/2009,
ADULT RESIDENTIAL,198602061,LIFE PATH LA BOARD & CARE,"LIFE PATH 2, INC.","WILLIAMS, JETTIE",(213) 572-8768,11720 INGLEWOOD AVENUE,HAWTHORNE,CA,90250,LOS ANGELES,28,26,PENDING,6/26/2017,
ADULT RESIDENTIAL,435202627,LIFE SERVICES ALTERNATIVES INC,LIFE SERVICES ALTERNATIVES INC,"GOSS, SHELLY",(408) 727-3411,1521 RAMITA CT,SAN JOSE,CA,95128,SANTA CLARA,26,5,LICENSED,3/7/2018,
ADULT RESIDENTIAL,435202430,LIFE SERVICES ALTERNATIVES INC,LIFE SERVICES ALTERNATIVES INC,"GOSS, SHELLY",(408) 727-3411,3121 HUMBOLT AVE,SANTA CLARA,CA,95051,SANTA CLARA,26,5,LICENSED,6/2/2014,
ADULT RESIDENTIAL,435202498,LIFE SERVICES ALTERNATIVES INC,LIFE SERVICES ALTERNATIVES INC,EDWEENA DANIHER,(408) 727-3411,805 CAMBRIAN DR,CAMPBELL,CA,95008,SANTA CLARA,26,5,LICENSED,5/18/2015,
ADULT RESIDENTIAL,435202343,LIFE SERVICES ALTERNATIVES INC,LIFE SERVICES ALTERNATIVES INC,"WARIKORU, TIMI",(408) 638-7828,455 CYPRESS AVE,SANTA CLARA,CA,95050,SANTA CLARA,26,5,LICENSED,2/8/2013,
ADULT RESIDENTIAL,210102856,LIFEHOUSE-COMITO,"LIFEHOUSE, INC.",MICHAEL SUS,(415) 457-3690,16 PORTEOUS AVENUE,FAIRFAX,CA,94930,MARIN,21,6,LICENSED,8/14/1993,
ADULT RESIDENTIAL,216800261,LIFEHOUSE-LAUREL PLACE,"LIFEHOUSE, INC.",MIKE SUS,(415) 456-7141,210 LAUREL PLACE,SAN RAFAEL,CA,94903,MARIN,21,6,LICENSED,1/22/1996,
ADULT RESIDENTIAL,198600302,LIFESTYLE BOARD AND CARE,"GABRIEL, BENIGNO T.& WYNDA V.",WYNDA GABRIEL,(310) 834-9325,149 EAST 235TH STREET,CARSON,CA,90745,LOS ANGELES,28,6,CLOSED,11/26/2003,6/12/2017
ADULT RESIDENTIAL,198602101,LIFESTYLE BOARD AND CARE,"ALETA, PHILIJOHN M. & ANNALIZA T.","ALETA, ANNALIZA T",(310) 834-9325,149 EAST 235TH STREET,CARSON,CA,90745,LOS ANGELES,28,6,LICENSED,6/12/2017,
ADULT RESIDENTIAL,374603433,LIFESTYLE CHOICES,"ESQUERRA GROUP, INC., THE",NATTALI ESQUERRA,(619) 271-1027,3881 VIA DE LA BANDOLA,SAN YSIDRO,CA,92173,SAN DIEGO,8,4,CLOSED,,12/19/2014
ADULT RESIDENTIAL,198601712,LIFESTYLE TRANSITIONS,MILLICENT ANITA ROWE-WANZO,MILLICENT WANZO,(626) 786-7251,67 N OAK AVENUE,PASADENA,CA,91107,LOS ANGELES,28,6,CLOSED,,10/29/2014
ADULT RESIDENTIAL,419210113,"LIFEWAY CARE HOME, INC.","LIFEWAY CARE HOME,INC.","KWOK, YU-HEUNG YVONNE",(650) 219-0361,2980 DUBLIN DRIVE,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,14,6,CLOSED,4/25/2012,11/30/2017
ADULT RESIDENTIAL,374602619,LIGHTHOUSE ADULT RESIDENTIAL FACILITY,SOTERIA ALLIANCE CORPORATION,MARLENE ALTHOF,(760) 440-9902,647 AMIGOS ROAD,RAMONA,CA,92065,SAN DIEGO,8,4,LICENSED,3/25/2008,
ADULT RESIDENTIAL,374604076,LIGHTHOUSE CARE,LIGHTHOUSE CARE INC,"KHOURY, SALLY",(619) 715-7444,8868 HAMMOND DRIVE,SAN DIEGO,CA,92123,SAN DIEGO,8,6,LICENSED,6/25/2018,
ADULT RESIDENTIAL,374604055,LIGHTHOUSE CARE #2,LIGHTHOUSE CARE INC,"KHOURY, SALLY",(619) 715-7444,7873 STARLING DRIVE,SAN DIEIGO,CA,92123,SAN DIEGO,8,6,PENDING,,
ADULT RESIDENTIAL,525002643,LIGHTHOUSE RESIDENTIAL INC,LIGHTHOUSE RESIDENTIAL INC,"LEAK, TAMRA",(530) 200-2909,25347 LEE ST,LOS MOLINOS,CA,96055,TEHAMA,25,6,LICENSED,2/7/2018,
ADULT RESIDENTIAL,435202312,LIGHTHOUSE VILLA RESIDENTIAL CARE FACILITY,FRED O'DELL OGLE,FRED O'DELL OGLE,(408) 972-0516,356 MADISON DRIVE,SAN JOSE,CA,95123,SANTA CLARA,26,6,CLOSED,11/30/2012,9/20/2018
ADULT RESIDENTIAL,435202658,LIGHTHOUSE VILLA RESIDENTIAL CARE FACILITY,"OGLE, FRED O'DELL","OLGE, FRED O'DELL",(408) 972-0516,1961 MCLAUGHLIN AVE,SAN JOSE,CA,95122,SANTA CLARA,26,6,LICENSED,9/13/2018,
ADULT RESIDENTIAL,198600720,LIGHTSTAR ADULT RESIDENTIAL CARE,CRYSTALS SUNRISE INC,LEONIDA BAUTISTA,(310) 638-3847,3141 EUCLID AVENUE,LYNWOOD,CA,90262,LOS ANGELES,28,68,CLOSED,9/25/2006,4/12/2016
ADULT RESIDENTIAL,198603095,LILAC CARE RESIDENTIAL HOME LLC,LILAC CARE RESIDENTIAL HOME LLC,"SANTIAGO, BETTINA",(213) 388-2229,16502 E QUEENSIDE DR,COVINA,CA,91722,LOS ANGELES,28,4,LICENSED,,
ADULT RESIDENTIAL,397004722,LILIAN'S CARE HOME,"ANDRIADE,MARIALILIAN & MARVIN","ANDRIADE, MARIALILIAN",(209) 482-8957,2410 LAGUNA COURT,STOCKTON,CA,95206,SAN JOAQUIN,27,6,LICENSED,3/3/2011,
ADULT RESIDENTIAL,435202321,LILLIAN & FRED'S AMBULATORY CARE,SANDY JANE PECK,SANDY PECK,(408) 297-5900,1308 PEACH COURT,SAN JOSE,CA,95116,SANTA CLARA,26,15,CLOSED,5/13/2013,7/29/2014
ADULT RESIDENTIAL,336424494,LILLIANNA RESIDENTIAL HOME,"ALTEMUS, CHIZUKO K.","ALTEMUS, CHIZUKO K.",(951) 275-9663,2051 RANCHO DRIVE,RIVERSIDE,CA,92507,RIVERSIDE,18,6,CLOSED,7/15/2010,5/21/2015
ADULT RESIDENTIAL,198601920,LILLY'S OPEN ARMS,LILLY JONES,LILLY JONES,(310) 684-9541,146 EAST ALLENHURST STREET,LOS ANGELES,CA,90061,LOS ANGELES,28,4,CLOSED,,7/9/2014
ADULT RESIDENTIAL,198601954,LILLY'S OPEN ARMS,LILLY JONES,LILLY JONES,(310) 684-9541,242 EAST 138TH STREET,LOS ANGELES,CA,90061,LOS ANGELES,28,4,LICENSED,10/29/2015,
ADULT RESIDENTIAL,198602956,LILLY'S OPEN ARMS II,LILLY JONES,"JONES, LILLY",(310) 684-9541,649 WEST LACONIA BOULEVARD,LOS ANGELES,CA,90044,LOS ANGELES,28,4,LICENSED,10/12/2018,
ADULT RESIDENTIAL,197609698,LILLY OF THE VALLEY HOME,GRACE OYEBOBOLA,GRACE OYEBOBOLA,(818) 974-7033,7747 VAN NOORD AVENUE,NORTH HOLLYWOOD,CA,91605,LOS ANGELES,31,4,PENDING,,
ADULT RESIDENTIAL,191841385,LILLY WASHINGTON FAMILY HOME,"WASHINGTON, LILLY P.","WASHINGTON, LILLY P.",(323) 734-3289,2274 WEST 21ST STREET,LOS ANGELES,CA,90018,LOS ANGELES,28,4,LICENSED,5/2/1989,
ADULT RESIDENTIAL,19200686,LILY'S ADULT RESIDENTIAL CARE HOME,MBC CAREHOME INC,"ORDINIZA, LILIBETH",(510) 862-1573,3241 SAN MARCO WAY,UNION CITY,CA,94587,ALAMEDA,15,6,CLOSED,,6/22/2016
ADULT RESIDENTIAL,397002664,LILY'S GUEST HOME,"CABRERA, DIGNA","CABRERA, DIGNA",(209) 943-1714,3522 W. MENDOCINO AVENUE,STOCKTON,CA,95204,SAN JOAQUIN,27,6,LICENSED,12/5/2003,
ADULT RESIDENTIAL,306003930,LILY'S HOME,"MARTIN FAMILY ENTERPRISES, INC.",MARILYN PAGUIO,(562) 860-9642,11408 177TH STREET,ARTESIA,CA,90701,ORANGE,28,4,LICENSED,4/30/2008,
ADULT RESIDENTIAL,435200183,LILY AVENUE HOME,"TWELVEACRES, INCORPORATED",AMY HELLYER,(408) 341-0400,1105 LILY AVENUE,SUNNYVALE,CA,94085,SANTA CLARA,26,6,LICENSED,10/13/1995,
ADULT RESIDENTIAL,15600614,LILY HOUSE,"LLAMADO, JULIET",CASSANDRA CURRY,(925) 493-7968,4355 COLGATE WAY,LIVERMORE,CA,94550,ALAMEDA,15,6,LICENSED,4/23/2002,
ADULT RESIDENTIAL,306004807,LINA'S BOARD AND CARE,"R & R VALDIVIA, INC.",CRYSTAL LARA,(714) 558-6007,1511 E. STAFFORD STREET,SANTA ANA,CA,92701,ORANGE,22,6,LICENSED,12/15/2015,
ADULT RESIDENTIAL,300607230,LINA'S BOARD & CARE HOME,"VALDIVIA, RAMIRO & ANGELINA","VALDIVIA, ANGELINA",(714) 558-6007,1511 E. STAFFORD STREET,SANTA ANA,CA,92701,ORANGE,22,6,CLOSED,10/19/1993,12/15/2015
ADULT RESIDENTIAL,198201863,LINCOLN HOME IV,"LINCOLN HOME, INC",BRIJINDER BEHLA,(310) 549-1317,23018 ARCHIBALD,CARSON,CA,90745,LOS ANGELES,28,4,LICENSED,3/31/1998,
ADULT RESIDENTIAL,306000604,LINCOLN HOME V,"LINCOLN HOME, INC.",BRIJINDER BEHLA,(714) 530-1214,11142 WAKEFIELD AVE,GARDEN GROVE,CA,92840,ORANGE,22,4,LICENSED,6/5/1997,
ADULT RESIDENTIAL,198202468,LINCOLN HOME VI,"LINCOLN HOME, INC.",ANGELITO AGUILAR,(310) 530-9091,2256 W. 232ND,TORRANCE,CA,90505,LOS ANGELES,28,6,CLOSED,7/23/1999,5/15/2014
ADULT RESIDENTIAL,198600095,LINCOLN PALMS,"COLOMES, RICHARD",RICHARD COLOMES,(626) 808-5999,3004 NORTH LINCOLN AVENUE,ALTADENA,CA,91001,LOS ANGELES,31,6,LICENSED,12/4/2002,
ADULT RESIDENTIAL,561703310,LINCOLN PLACE,"ROBLES, MANOLD C & DIONISIO, CARMENCITA C",MANOLD ROBLES 98,(805) 643-6059,63 LINCOLN DRIVE,VENTURA,CA,93001,VENTURA,29,24,CLOSED,1/29/1988,1/29/2014
ADULT RESIDENTIAL,397001805,LINCOLN ROAD CARE HOME,"ASUNCION, EUTROPIA (TROPY)","ESCORIDO, ASTROFEL",(209) 451-4258,120 E LINCOLN RD,STOCKTON,CA,95207,SAN JOAQUIN,27,6,LICENSED,11/16/2001,
ADULT RESIDENTIAL,19200263,LINDA'S CARE HOME,"ARDENWOOD FACILITIES, INC.",ESTELITA JOVES,(510) 441-1948,3144 SAN GABRIEL WAY,UNION CITY,CA,94587,ALAMEDA,15,6,LICENSED,8/16/2007,
ADULT RESIDENTIAL,79200587,LINDA'S RESIDENTIAL CARE II LLC,LINDA RESIDENTIAL CARE II LLC,"PORTILLO, ERLINDA",(925) 565-5106,5220 FEATHER WAY,ANTIOCH,CA,94531,CONTRA COSTA,15,6,LICENSED,9/19/2017,
ADULT RESIDENTIAL,79200174,"LINDA'S RESIDENTIAL CARE, LLC","LINDA'S RESIDENTIAL CARE, LLC",ERLINDA PORTILLO,(925) 565-5106,4605 MENDOTA WAY,ANTIOCH,CA,94531,CONTRA COSTA,15,6,LICENSED,11/7/2007,
ADULT RESIDENTIAL,336423454,LINDA DUNN'S HOME,"DUNN, LINDA","DUNN, LINDA",(951) 925-9285,41098 COLLEGIAN WAY,HEMET,CA,92544,RIVERSIDE,18,6,CLOSED,7/23/2008,7/23/2014
ADULT RESIDENTIAL,11440463,LINDA VISTA MANOR,"LUCERO, ERLINDA B.",BELINDA LUCERO,(510) 582-8870,1659 D STREET,HAYWARD,CA,94541,ALAMEDA,15,15,CLOSED,12/16/1988,11/22/2017
ADULT RESIDENTIAL,397005824,LINDEN GROVE ADULT RESIDENTIAL,"LINDEN GROVE, LLC","CAMPBELL, MARICA Z.",(209) 430-8869,21373 EASTERN HEIGHTS RD,LINDEN,CA,95236,SAN JOAQUIN,27,6,LICENSED,10/20/2015,
ADULT RESIDENTIAL,480107803,LINDLEY FAMILY HOME,"LINDLEY, MARY ELLEN","LINDLEY, MARY ELLEN",(707) 448-5946,3351 SHALE PEAK,VACAVILLE,CA,95688,SOLANO,21,2,CLOSED,11/18/1986,9/30/2014
ADULT RESIDENTIAL,160406269,LINDSEY BOARD & CARE,"LINDSEY, SHEILA","LINDSEY, SHEILA",(559) 582-6579,10208 HAVEN LANE,HANFORD,CA,93230,KINGS,24,6,CLOSED,6/27/1990,10/18/2016
ADULT RESIDENTIAL,167208258,LINDSEY B/C HOME,"LINDSEY, SHEILA COX","LINDSEY, SHEILA COX",(559) 582-6579,9573 HOME AVE,HANFORD,CA,93230,KINGS,24,5,LICENSED,10/18/2016,
ADULT RESIDENTIAL,435202300,LINDSTROM ARF,TJ HOMES CORPORATION,EVELYN CANONIZADO,(408) 224-2503,544 LINDSTROM CT.,SAN JOSE,CA,95111,SANTA CLARA,26,6,CLOSED,8/3/2012,5/5/2018
ADULT RESIDENTIAL,374601480,LINO & AMIE'S BOARD AND CARE,"DELACRUZ, CATALINO P. & AMELIA T.",AMELIA T. DELACRUZ,(858) 549-8891,11383 SPICA DRIVE,SAN DIEGO,CA,92126,SAN DIEGO,8,6,LICENSED,5/7/2003,
ADULT RESIDENTIAL,374602942,LINO & AMIE'S BOARD AND CARE #2,"DELACRUZ, CATALINO & AMELIA","DELACRUZ, AMELIA",(858) 212-5751,8825 GRAMERCY,SAN DIEGO,CA,92123,SAN DIEGO,8,6,LICENSED,1/21/2010,
ADULT RESIDENTIAL,507001414,LINWOOD,WILLIAM MCKINLEY BATES JR.,NATALIE RUTH AN BATES,(209) 577-2044,1609 LINWOOD DRIVE,MODESTO,CA,95350,STANISLAUS,27,6,CLOSED,6/13/2000,4/1/2014
ADULT RESIDENTIAL,507005217,LINWOOD HOME,NATALIE RUTHAN BATES,"BATES, NATALIE",(209) 345-6562,1609 LINWOOD DR,MODESTO,CA,95350,STANISLAUS,27,6,CLOSED,4/2/2014,10/16/2018
ADULT RESIDENTIAL,191593155,LISA MARIE GUEST HOME,"PERAZA, MARIA E.","OTERO, IMELDA",(323) 587-8726,3451 SANTA ANA ST.,HUNTINGTON PARK,CA,90255,LOS ANGELES,28,12,LICENSED,3/1/1992,
ADULT RESIDENTIAL,390302136,LITCHFIELD HOME,"LITCHFIELD, RAY & BETTY & DOYLE","LITCHFIELD, RAY & BETTY",(209) 334-3562,21288 NORTH MANN ROAD,ACAMPO,CA,95220,SAN JOAQUIN,27,5,CLOSED,,5/16/2014
ADULT RESIDENTIAL,347003040,LITO GASPAR'S CARE HOME,"GASPAR, EMERITO","GASPAR, EMERITO",(916) 395-3238,8360 NIGHTFALL WAY,SACRAMENTO,CA,95823,SACRAMENTO,27,6,LICENSED,9/3/2004,
ADULT RESIDENTIAL,500307165,LITTLE'S GUEST HOME,"LITTLE, LOUISE AND JERRY",LAURA WOODING,(209) 524-2163,213 S ABBIE STREET,EMPIRE,CA,95319,STANISLAUS,27,22,LICENSED,7/5/1984,
ADULT RESIDENTIAL,374600856,LITTLE EAGLE FAMILY HOME,"NIEVERA, RAQUEL R.",RAQUEL R. NIEVERA,(858) 598-5097,4635 BERWICK DRIVE,SAN DIEGO,CA,92117,SAN DIEGO,8,6,LICENSED,11/19/1999,
ADULT RESIDENTIAL,300613256,LITTLE HARBOR BOARD & CARE,"PARKER, STACEY SHAWN","PARKER, STACEY SHAWN",(714) 999-9990,551 S. HARBOR BLVD.,ANAHEIM,CA,92805,ORANGE,22,4,LICENSED,4/1/1994,
ADULT RESIDENTIAL,197603497,"LITTLE JESUS FAMILY, THE","LITTLE JESUS FAMILY, INC., THE",JAMES H. LIM,(213) 387-3301,1137 ARAPAHOE ST.,LOS ANGELES,CA,90006,LOS ANGELES,28,6,LICENSED,9/20/2001,
ADULT RESIDENTIAL,435201895,LITTLE ORCHARD ADULT RESIDENTIAL FACILITY,"LITTLE ORCHARD, LLC",MALOU CALABIG,(408) 286-5364,787 E. SAN CARLOS STREET,SAN JOSE,CA,95112,SANTA CLARA,26,6,CLOSED,2/20/2007,6/30/2015
ADULT RESIDENTIAL,374603378,LIVE AND CARE,"TURNER, ANGIE",ANGIE TURNER,(619) 588-6372,875 COLDSTREAM DRIVE,EL CAJON,CA,92020,SAN DIEGO,8,6,LICENSED,10/8/2014,
ADULT RESIDENTIAL,336426359,LIVELY LIVING HOMES,LIVELY LIVING HOMES,"FALEONO, MARIA",(619) 829-7358,49495 CHICKASAW CT.,AGUANGA,CA,92536,RIVERSIDE,18,4,CLOSED,,9/16/2015
ADULT RESIDENTIAL,198601564,LIVING LIFE,INFINITY RESIDENTIAL CARE INC,"CHANDLER, BRENDA",(310) 722-7541,4645 W 129TH ST,HAWTHORNE,CA,90250,LOS ANGELES,28,3,LICENSED,11/30/2012,
ADULT RESIDENTIAL,198601512,LIVING WELL,KINGDOM ENRICHMENT COMMUNITY SERVICES,FRANCES SNODDY,(310) 902-4893,1538 W.127TH STREET,LOS ANGELES,CA,90047,LOS ANGELES,28,4,LICENSED,2/1/2013,
ADULT RESIDENTIAL,198602077,LIVING WELL 2,"KINGDOM ENRICHMENT COMMUNITY SERVICES, INC.","JUSTICE, RICHARD",(310) 480-8182,434 W. SCHOOL STREET,COMPTON,CA,90220,LOS ANGELES,28,4,LICENSED,6/13/2017,
ADULT RESIDENTIAL,198602851,LIVING WELL #3,KINGDOM ENRICHMENT COMMUNITY SERVICES,"JUSTICE, RICHARD",(310) 480-8182,12825 BELHAVEN AVE,LOS ANGELES,CA,90059,LOS ANGELES,28,4,LICENSED,7/9/2018,
ADULT RESIDENTIAL,366426116,LIVINGSPRINGS-FIREFLY WAY,"LIVINGSPRINGS, LLC","AWE, JOHN",(951) 322-6054,12439 FIREFLY WAY,VICTORVILLE,CA,92392,SAN BERNARDINO,18,4,CLOSED,5/9/2014,7/18/2016
